IoU, Prec., Rec., F1, ang. err., std. ang. err., cent. err., std. cent. err. ,F. Neg, F. Pos, T. Pos 
0.5, 0.9937402190923318, 0.9921875, 0.9929632525410478, 1.1710531956670154, 1.1263509659287587, 1.356562630616782, 1.7708848002804978, 5.0, 4.0, 635.0
0.55, 0.9937402190923318, 0.9921875, 0.9929632525410478, 1.1710531956670154, 1.1263509659287587, 1.356562630616782, 1.7708848002804978, 5.0, 4.0, 635.0
0.6000000000000001, 0.9937402190923318, 0.9921875, 0.9929632525410478, 1.1710531956670154, 1.1263509659287587, 1.356562630616782, 1.7708848002804978, 5.0, 4.0, 635.0
0.6500000000000001, 0.9921752738654147, 0.990625, 0.9913995308835027, 1.1716415452222404, 1.127141402467579, 1.3372272441220592, 1.7039894649307425, 6.0, 5.0, 634.0
0.7000000000000002, 0.9827856025039123, 0.98125, 0.982017200938233, 1.161601652006312, 1.1178533398225696, 1.243990284677149, 1.4172593322310822, 12.0, 11.0, 628.0
0.7500000000000002, 0.971830985915493, 0.9703125, 0.9710711493354184, 1.1510974134954888, 1.1068952409406811, 1.1502317282854615, 1.1106653013698031, 19.0, 18.0, 621.0
0.8000000000000003, 0.9640062597809077, 0.9625, 0.9632525410476935, 1.1492098642823478, 1.1091005640551599, 1.0959809954922783, 0.9366057227336423, 24.0, 23.0, 616.0
0.8500000000000003, 0.9264475743348983, 0.925, 0.9257232212666145, 1.1153909526194277, 1.0627269836149749, 1.0189623424253191, 0.7317532636959027, 48.0, 47.0, 592.0
0.9000000000000004, 0.7934272300469484, 0.7921875, 0.7928068803752932, 1.054616250171082, 1.046447361314531, 0.8877121564590488, 0.49122656136384985, 133.0, 132.0, 507.0
0.9500000000000004, 0.3270735524256651, 0.3265625, 0.326817826426896, 1.1204438949009488, 0.9591165110371253, 0.6557366512513697, 0.34543114547846204, 431.0, 430.0, 209.0
Avg, 0.8938967136150234, 0.8925000000000001, 0.8931978107896794, 1.1437161159698896, 1.0908334301038898, 1.145952929456303, 1.2049585192644978, --, --, --
Time: 8.123414556997886
