IoU, Prec., Rec., F1, ang. err., std. ang. err., cent. err., std. cent. err. ,F. Neg, F. Pos, T. Pos 
0.5, 0.9928057553956835, 0.9541918755401901, 0.9731159100925518, 0.8124652001348726, 0.6830865408869038, 0.0, 0.0, 53.0, 8.0, 1104.0
0.55, 0.9928057553956835, 0.9541918755401901, 0.9731159100925518, 0.8124652001348726, 0.6830865408869038, 0.0, 0.0, 53.0, 8.0, 1104.0
0.6000000000000001, 0.9928057553956835, 0.9541918755401901, 0.9731159100925518, 0.8124652001348726, 0.6830865408869038, 0.0, 0.0, 53.0, 8.0, 1104.0
0.6500000000000001, 0.9928057553956835, 0.9541918755401901, 0.9731159100925518, 0.8124652001348726, 0.6830865408869038, 0.0, 0.0, 53.0, 8.0, 1104.0
0.7000000000000002, 0.9928057553956835, 0.9541918755401901, 0.9731159100925518, 0.8124652001348726, 0.6830865408869038, 0.0, 0.0, 53.0, 8.0, 1104.0
0.7500000000000002, 0.9910071942446043, 0.9524632670700086, 0.9713530189510798, 0.8138491868461939, 0.6829316746785841, 0.0, 0.0, 55.0, 10.0, 1102.0
0.8000000000000003, 0.9901079136690647, 0.9515989628349178, 0.9704715733803436, 0.8111765013512514, 0.6774565847478751, 0.0, 0.0, 56.0, 11.0, 1101.0
0.8500000000000003, 0.9829136690647482, 0.9446845289541919, 0.9634200088144557, 0.8023088988118571, 0.6662081966384188, 0.0, 0.0, 64.0, 19.0, 1093.0
0.9000000000000004, 0.9073741007194245, 0.8720829732065687, 0.8893785808726311, 0.7510104540597691, 0.6208175532619353, 0.0, 0.0, 148.0, 103.0, 1009.0
0.9500000000000004, 0.4460431654676259, 0.428694900605013, 0.43719700308505943, 0.5962373908243783, 0.4714680517937078, 0.0, 0.0, 661.0, 616.0, 496.0
Avg, 0.9281474820143887, 0.8920484010371652, 0.9097399735566329, 0.7836908432567813, 0.653431476555504, 0.0, 0.0, --, --, --
Time: 18.82655668303414
