IoU, Prec., Rec., F1, ang. err., std. ang. err., cent. err., std. cent. err. ,F. Neg, F. Pos, T. Pos 
0.5, 0.9869565217391304, 0.9809853068280034, 0.9839618552232338, 1.0233031698156392, 0.7337240747101237, 1.6477605783441684, 1.0092176377735562, 22.0, 15.0, 1135.0
0.55, 0.9860869565217392, 0.9801210025929127, 0.9830949284785435, 1.023306680958578, 0.7340475053864567, 1.6383796209200618, 0.9589242542042156, 23.0, 16.0, 1134.0
0.6000000000000001, 0.9852173913043478, 0.9792566983578219, 0.9822280017338534, 1.023608677593485, 0.7343009542989614, 1.6307222560218184, 0.9240427263331884, 24.0, 17.0, 1133.0
0.6500000000000001, 0.9852173913043478, 0.9792566983578219, 0.9822280017338534, 1.023608677593485, 0.7343009542989614, 1.6307222560218184, 0.9240427263331884, 24.0, 17.0, 1133.0
0.7000000000000002, 0.9852173913043478, 0.9792566983578219, 0.9822280017338534, 1.023608677593485, 0.7343009542989614, 1.6307222560218184, 0.9240427263331884, 24.0, 17.0, 1133.0
0.7500000000000002, 0.9843478260869565, 0.9783923941227312, 0.9813610749891635, 1.022915588569866, 0.7342546920428276, 1.6275496465171368, 0.9182619957625782, 25.0, 18.0, 1132.0
0.8000000000000003, 0.9791304347826087, 0.9732065687121867, 0.976159514521023, 1.0197503432185682, 0.733876910121629, 1.6132561727790244, 0.8977509339866246, 31.0, 24.0, 1126.0
0.8500000000000003, 0.94, 0.9343128781331028, 0.9371478110099696, 1.0001449988073474, 0.7122522820516252, 1.54036648306053, 0.8186831933391413, 76.0, 69.0, 1081.0
0.9000000000000004, 0.7078260869565217, 0.7035436473638721, 0.70567837017772, 0.8552583915012183, 0.5525571898766849, 1.3512888836177324, 0.6958819232618607, 343.0, 336.0, 814.0
0.9500000000000004, 0.10347826086956521, 0.10285220397579949, 0.10316428261811876, 0.4107980715358842, 0.27528465521442697, 0.9645042994193466, 0.5077812649474043, 1038.0, 1031.0, 119.0
Avg, 0.8643478260869564, 0.8591184096802074, 0.8617251842219331, 0.9426303277187555, 0.6678900172300659, 1.5275272452723454, 0.8578629382274945, --, --, --
Time: 15.320942374994956
