Thresh, Prec., Rec., F1, ang. err., a. e. std., Time
25, -nan(ind), 0, -nan(ind), -nan(ind), -nan(ind), 601478
50, -nan(ind), 0, -nan(ind), -nan(ind), -nan(ind), 599292
75, 0.93474, 0.248833, 0.393038, 0.796227, 0.603376, 588080
100, 0.892636, 0.523855, 0.66024, 0.857705, 0.626952, 636366
125, 0.858977, 0.624373, 0.723123, 0.895297, 0.628572, 674106
150, 0.8275, 0.686603, 0.750496, 0.88381, 0.623131, 572609
175, 0.789973, 0.755834, 0.772527, 0.894631, 0.627677, 568343
200, 0.748204, 0.774071, 0.760918, 0.893659, 0.626737, 564927
225, 0.717323, 0.787381, 0.750721, 0.893965, 0.636928, 554370
250, 0.68765, 0.794036, 0.737024, 0.892047, 0.637562, 2.11029e+06
275, 0.661318, 0.797926, 0.723228, 0.895611, 0.639383, 559123
300, 0.633288, 0.807347, 0.709802, 0.897496, 0.641, 558344
325, 0.592361, 0.817632, 0.687001, 0.897537, 0.640681, 557552
350, 0.554927, 0.822558, 0.662744, 0.901174, 0.642198, 547191
375, 0.521549, 0.826275, 0.639465, 0.904596, 0.644313, 550364
400, 0.484004, 0.831634, 0.611892, 0.906306, 0.645252, 600018
425, 0.448586, 0.836301, 0.583947, 0.905833, 0.6447, 733684
450, 0.421009, 0.83656, 0.560127, 0.907122, 0.648747, 576869
475, 0.404212, 0.83777, 0.545316, 0.908599, 0.650675, 591363
500, 0.389326, 0.838548, 0.531762, 0.908809, 0.650409, 720763
