Thresh, Prec., Rec., F1, ang. err., a. e. std.,cent. err, std. c. e., Time
25, -nan(ind), 0, -nan(ind), -nan(ind), -nan(ind),-nan(ind),-nan(ind), 962697
50, -nan(ind), 0, -nan(ind), -nan(ind), -nan(ind),-nan(ind),-nan(ind), 983044
75, 0.876948, 0.233449, 0.368737, 0.799123, 0.606928,1.61689,1.13977, 993333
100, 0.833873, 0.489369, 0.616776, 0.857624, 0.626551,1.78488,1.31222, 1.09429e+06
125, 0.801902, 0.582887, 0.675075, 0.895469, 0.628207,1.85877,1.39285, 1.36117e+06
150, 0.774479, 0.64261, 0.702409, 0.882359, 0.621502,1.93465,1.51803, 1.50648e+06
175, 0.740921, 0.708902, 0.724558, 0.891343, 0.625564,2.11918,1.95782, 671108
200, 0.701754, 0.726016, 0.713679, 0.890565, 0.624527,2.1543,1.99233, 707482
225, 0.672677, 0.738375, 0.703997, 0.890275, 0.633688,2.20317,2.21858, 2.1884e+06
250, 0.64491, 0.744685, 0.691215, 0.888551, 0.634512,2.24321,2.47049, 1.24558e+06
275, 0.620559, 0.748747, 0.678653, 0.891848, 0.636139,2.28699,2.73824, 626513
300, 0.594305, 0.757649, 0.666109, 0.893531, 0.63766,2.30548,2.80456, 1.67044e+06
325, 0.555604, 0.766897, 0.644372, 0.893765, 0.637454,2.33411,2.90592, 1.7094e+06
350, 0.520641, 0.771737, 0.621797, 0.897899, 0.639324,2.33883,2.90681, 2.18074e+06
375, 0.489307, 0.775194, 0.599933, 0.901051, 0.641163,2.3703,3.02235, 595644
400, 0.454125, 0.780294, 0.574118, 0.903054, 0.642266,2.388,3.06821, 596678
425, 0.420862, 0.784615, 0.547858, 0.902494, 0.641814,2.39221,3.06436, 685876
450, 0.394998, 0.784875, 0.525521, 0.90387, 0.646153,2.40024,3.09556, 570572
475, 0.379274, 0.786085, 0.511674, 0.905448, 0.648228,2.42288,3.15459, 691463
500, 0.365329, 0.786863, 0.498986, 0.905675, 0.647947,2.42425,3.15333, 695250
