Thresh, Prec., Rec., F1, ang. err., a. e. std., Time
25, -nan(ind), 0, -nan(ind), -nan(ind), -nan(ind), 599622
50, -nan(ind), 0, -nan(ind), -nan(ind), -nan(ind), 606560
75, 0.915, 0.316335, 0.470135, 0.824803, 0.609679, 611762
100, 0.796095, 0.581417, 0.672028, 0.854472, 0.626565, 581932
125, 0.711331, 0.683665, 0.697223, 0.885619, 0.629854, 579443
150, 0.61875, 0.744425, 0.675794, 0.886868, 0.630985, 571594
175, 0.540957, 0.791098, 0.642541, 0.896886, 0.634984, 576007
200, 0.465737, 0.808297, 0.590964, 0.894443, 0.636703, 573452
225, 0.413167, 0.816335, 0.548649, 0.898782, 0.647853, 557732
250, 0.361658, 0.82178, 0.502272, 0.89861, 0.646894, 569556
275, 0.326423, 0.827485, 0.468166, 0.897738, 0.646685, 597180
300, 0.299224, 0.833016, 0.440292, 0.900456, 0.648123, 574771
325, 0.27534, 0.839585, 0.414685, 0.901728, 0.647362, 576618
350, 0.25104, 0.845117, 0.387094, 0.903106, 0.646042, 572378
375, 0.230254, 0.846586, 0.36204, 0.903714, 0.646271, 591200
400, 0.215126, 0.850648, 0.343405, 0.906402, 0.651341, 605822
425, 0.204306, 0.852895, 0.329648, 0.906918, 0.65145, 577115
450, 0.193765, 0.854105, 0.31587, 0.908634, 0.653064, 985417
475, 0.183284, 0.856698, 0.301965, 0.910408, 0.654102, 1.3128e+06
500, 0.174377, 0.858168, 0.289855, 0.912538, 0.655816, 1.23655e+06
