NMS Threshold: 125
         IoU       Prec.        Rec.          F1   ang. err.  a. e. std.      F. Neg      F. Pos      T. Pos
         0.5    0.933413    0.678479    0.785786    0.914487    0.642592         372          56         785
        0.55    0.933413    0.678479    0.785786    0.914487    0.642592         372          56         785
         0.6    0.933413    0.678479    0.785786    0.914487    0.642592         372          56         785
        0.65    0.933413    0.678479    0.785786    0.914487    0.642592         372          56         785
         0.7    0.932224    0.677615    0.784785    0.914229    0.642961         373          57         784
        0.75    0.932224    0.677615    0.784785    0.914229    0.642961         373          57         784
         0.8    0.926278    0.673293     0.77978    0.904178    0.632222         378          62         779
        0.85    0.902497    0.656007     0.75976    0.886834     0.62267         398          82         759
         0.9    0.760999    0.553155    0.640641    0.847335    0.581849         517         201         640
        0.95    0.401902    0.292135    0.338338     0.71855    0.465503         819         503         338
        Avg.    0.858977    0.624373    0.723123    0.895297    0.628572          -1          -1          -1
Time 1.18247e+06
