NMS Threshold: 175
         IoU       Prec.        Rec.          F1   ang. err.  a. e. std.  cent. err.  std. c. e.      F. Neg      F. Pos      T. Pos
         0.5    0.868112    0.830596     0.84894    0.912804    0.642388     2.28968     2.25493         196         146         961
        0.55    0.868112    0.830596     0.84894    0.912804    0.642388     2.28968     2.25493         196         146         961
         0.6    0.867209    0.829732    0.848057     0.91305    0.642677     2.25702     2.01619         197         147         960
        0.65    0.867209    0.829732    0.848057     0.91305    0.642677     2.25702     2.01619         197         147         960
         0.7    0.865402    0.828003     0.84629    0.910858    0.640385     2.22176     1.85634         199         149         958
        0.75    0.863595    0.826275    0.844523     0.90797    0.637506     2.18905      1.7133         201         151         956
         0.8    0.856369     0.81936    0.837456    0.899271    0.628837     2.16259     1.66599         209         159         948
        0.85    0.823848    0.788245    0.805654    0.886508    0.620182     2.03765     1.45677         245         195         912
         0.9     0.68383    0.654278    0.668728    0.849042    0.577428     1.68026      1.0121         400         350         757
        0.95    0.336043    0.321521    0.328622    0.730456    0.481751     1.25906    0.669903         785         735         372
        Avg.    0.789973    0.755834    0.772527    0.894631    0.627677     2.12741      1.8438          -1          -1          -1
Time 1782.39
