Thresh, Prec., Rec., F1, ang. err., a. e. std., Time
250, -nan(ind), 0, -nan(ind), -nan(ind), -nan(ind), 593226
500, 0.9, 0.000777874, 0.0015544, 0.552822, 0, 577528
750, 0.883721, 0.0656871, 0.122285, 0.817121, 0.578218, 594721
1000, 0.880952, 0.351772, 0.502779, 0.853943, 0.639709, 592133
1250, 0.858949, 0.522645, 0.649866, 0.886623, 0.644251, 556759
1500, 0.832985, 0.619879, 0.710803, 0.891566, 0.634209, 557766
1750, 0.79685, 0.677701, 0.732461, 0.898182, 0.63834, 559625
2000, 0.762855, 0.720657, 0.741156, 0.896738, 0.635774, 557183
2250, 0.725358, 0.744166, 0.734642, 0.901133, 0.640684, 557676
2500, 0.698028, 0.764996, 0.729979, 0.901471, 0.638789, 561278
2750, 0.673972, 0.778825, 0.722614, 0.898933, 0.637114, 561487
3000, 0.637299, 0.787122, 0.704331, 0.898028, 0.635857, 561711
3250, 0.598315, 0.797926, 0.683852, 0.897634, 0.643748, 563199
3500, 0.559004, 0.804927, 0.659795, 0.902905, 0.648511, 563980
3750, 0.52542, 0.811063, 0.637717, 0.905958, 0.653562, 565334
4000, 0.487583, 0.821348, 0.611912, 0.936229, 1.68963, 566642
4250, 0.461261, 0.828436, 0.592581, 0.940514, 1.68415, 565486
4500, 0.425977, 0.829127, 0.562804, 0.941064, 1.68355, 569404
4750, 0.401124, 0.832757, 0.541444, 0.944253, 1.68261, 568447
5000, 0.380496, 0.834659, 0.522706, 0.918547, 0.662401, 568003
