Thresh, Prec., Rec., F1, ang. err., a. e. std., Time
0.005, 0.992308, 0.0111495, 0.0220513, 0.419835, 0.303325, 702959
0.01, 0.946784, 0.139931, 0.243825, 0.815708, 0.556785, 699997
0.015, 0.90911, 0.379516, 0.535488, 0.847201, 0.596287, 704288
0.02, 0.864602, 0.591098, 0.702156, 0.899143, 0.641486, 699956
0.025, 0.789829, 0.677874, 0.729581, 0.910802, 0.646791, 700869
0.03, 0.72103, 0.726016, 0.723514, 0.926693, 0.667359, 701586
0.035, 0.653545, 0.764823, 0.704819, 0.919839, 0.701838, 703160
0.04, 0.61411, 0.778652, 0.686662, 0.917644, 0.698861, 705710
0.045, 0.578765, 0.793863, 0.669461, 0.917929, 0.698599, 706572
0.05, 0.537857, 0.798185, 0.642658, 0.917958, 0.699882, 709325
0.055, 0.505286, 0.80968, 0.622252, 0.921736, 0.702896, 711137
0.06, 0.477744, 0.816335, 0.602744, 0.924444, 0.706709, 715207
0.065, 0.44854, 0.823423, 0.580738, 0.943378, 0.865936, 717892
0.07, 0.408148, 0.82688, 0.54653, 0.96741, 1.449, 718774
0.075, 0.371164, 0.832152, 0.513356, 0.964944, 0.942646, 720947
0.08, 0.335829, 0.833621, 0.478779, 0.966006, 0.942168, 721661
0.085, 0.310847, 0.837165, 0.453358, 0.967814, 0.947828, 722959
0.09, 0.289107, 0.839585, 0.430108, 0.969796, 0.950742, 724227
0.095, 0.273003, 0.841659, 0.412278, 0.970053, 0.951922, 726350
0.1, 0.259196, 0.841659, 0.396337, 0.970053, 0.951922, 728531
