NMS Threshold: 125
         IoU       Prec.        Rec.          F1   ang. err.  a. e. std.      F. Neg      F. Pos      T. Pos
         0.5    0.799074    0.745895    0.771569     0.90272    0.643687         294         217         863
        0.55    0.798148     0.74503    0.770675    0.903588    0.643555         295         218         862
         0.6    0.798148     0.74503    0.770675    0.903588    0.643555         295         218         862
        0.65    0.798148     0.74503    0.770675    0.903588    0.643555         295         218         862
         0.7    0.798148     0.74503    0.770675    0.903588    0.643555         295         218         862
        0.75    0.797222    0.744166    0.769781    0.903482    0.643921         296         219         861
         0.8    0.790741    0.738116    0.763523    0.896087    0.636749         303         226         854
        0.85    0.762037    0.711322    0.735807    0.879467    0.628869         334         257         823
         0.9    0.635185    0.592913    0.613321    0.838235    0.576998         471         394         686
        0.95    0.347222    0.324114     0.33527    0.716378    0.465484         782         705         375
        Avg.    0.732407    0.683665    0.707197    0.885619    0.629854          -1          -1          -1
Time 840234
