Threshold low: 0 Threshold high15
  IoU       Prec.        Rec.          F1   ang. err.  a. e. std.      F. Neg      F. Pos      T. Pos
  0.5           0           0   -nan(ind)   -nan(ind)   -nan(ind)         640         107           0
 0.55           0           0   -nan(ind)   -nan(ind)   -nan(ind)         640         107           0
  0.6           0           0   -nan(ind)   -nan(ind)   -nan(ind)         640         107           0
 0.65           0           0   -nan(ind)   -nan(ind)   -nan(ind)         640         107           0
  0.7           0           0   -nan(ind)   -nan(ind)   -nan(ind)         640         107           0
 0.75           0           0   -nan(ind)   -nan(ind)   -nan(ind)         640         107           0
  0.8           0           0   -nan(ind)   -nan(ind)   -nan(ind)         640         107           0
 0.85           0           0   -nan(ind)   -nan(ind)   -nan(ind)         640         107           0
  0.9           0           0   -nan(ind)   -nan(ind)   -nan(ind)         640         107           0
 0.95           0           0   -nan(ind)   -nan(ind)   -nan(ind)         640         107           0
  Avg           0           0   -nan(ind)          --          --          --          --          --
Time: 6679.68
Threshold low: 0 Threshold high30
  IoU       Prec.        Rec.          F1   ang. err.  a. e. std.      F. Neg      F. Pos      T. Pos
  0.5   0.0444444    0.015625   0.0231214     22.7446     25.3233         630         215          10
 0.55   0.0311111   0.0109375    0.016185     26.0786       29.27         633         218           7
  0.6   0.0177778     0.00625  0.00924855     2.17172     2.25899         636         221           4
 0.65   0.0177778     0.00625  0.00924855     2.17172     2.25899         636         221           4
  0.7   0.0177778     0.00625  0.00924855     2.17172     2.25899         636         221           4
 0.75   0.0133333   0.0046875  0.00693642    0.908648    0.650166         637         222           3
  0.8   0.0133333   0.0046875  0.00693642    0.908648    0.650166         637         222           3
 0.85  0.00444444   0.0015625  0.00231214     1.02301           0         639         224           1
  0.9           0           0   -nan(ind)   -nan(ind)   -nan(ind)         640         225           0
 0.95           0           0   -nan(ind)   -nan(ind)   -nan(ind)         640         225           0
  Avg       0.016    0.005625   -nan(ind)          --          --          --          --          --
Time: 3298.66
Threshold low: 0 Threshold high45
  IoU       Prec.        Rec.          F1   ang. err.  a. e. std.      F. Neg      F. Pos      T. Pos
  0.5    0.123506   0.0484375   0.0695847     5.89805     5.91044         609         220          31
 0.55     0.10757   0.0421875   0.0606061     5.47157     5.02073         613         224          27
  0.6   0.0996016   0.0390625   0.0561167     5.10479     4.72163         615         226          25
 0.65   0.0677291   0.0265625   0.0381594      4.2733     4.70271         623         234          17
  0.7   0.0438247   0.0171875   0.0246914     3.09014     3.79307         629         240          11
 0.75   0.0199203   0.0078125   0.0112233     1.23202    0.844187         635         246           5
  0.8   0.0119522   0.0046875  0.00673401     1.68225    0.738463         637         248           3
 0.85  0.00796813    0.003125  0.00448934     2.04876    0.644207         638         249           2
  0.9           0           0   -nan(ind)   -nan(ind)   -nan(ind)         640         251           0
 0.95           0           0   -nan(ind)   -nan(ind)   -nan(ind)         640         251           0
  Avg   0.0482072   0.0189063   -nan(ind)          --          --          --          --          --
Time: 2376.49
Threshold low: 15 Threshold high30
  IoU       Prec.        Rec.          F1   ang. err.  a. e. std.      F. Neg      F. Pos      T. Pos
  0.5   0.0867347   0.0265625   0.0406699     9.66766     10.0299         623         179          17
 0.55   0.0765306   0.0234375   0.0358852     9.21581     9.57418         625         181          15
  0.6   0.0612245     0.01875   0.0287081     8.17507     8.94443         628         184          12
 0.65   0.0459184   0.0140625   0.0215311     7.98446     9.97176         631         187           9
  0.7   0.0357143   0.0109375   0.0167464     6.83961      9.5607         633         189           7
 0.75   0.0153061   0.0046875  0.00717703    0.493172    0.364023         637         193           3
  0.8           0           0   -nan(ind)   -nan(ind)   -nan(ind)         640         196           0
 0.85           0           0   -nan(ind)   -nan(ind)   -nan(ind)         640         196           0
  0.9           0           0   -nan(ind)   -nan(ind)   -nan(ind)         640         196           0
 0.95           0           0   -nan(ind)   -nan(ind)   -nan(ind)         640         196           0
  Avg   0.0321429  0.00984375   -nan(ind)          --          --          --          --          --
Time: 2623.27
Threshold low: 15 Threshold high45
  IoU       Prec.        Rec.          F1   ang. err.  a. e. std.      F. Neg      F. Pos      T. Pos
  0.5    0.195833   0.0734375    0.106818     5.93804     7.92827         593         193          47
 0.55      0.1625   0.0609375   0.0886364     4.91838     7.42683         601         201          39
  0.6    0.141667    0.053125   0.0772727     3.59078     5.54485         606         206          34
 0.65    0.116667     0.04375   0.0636364     1.84333     2.58952         612         212          28
  0.7   0.0916667    0.034375        0.05     1.55791     1.87615         618         218          22
 0.75   0.0708333   0.0265625   0.0386364     1.16278     1.49822         623         223          17
  0.8      0.0375   0.0140625   0.0204545    0.853505     0.79511         631         231           9
 0.85   0.0208333   0.0078125   0.0113636     0.74638    0.986758         635         235           5
  0.9  0.00416667   0.0015625  0.00227273    0.222412           0         639         239           1
 0.95  0.00416667   0.0015625  0.00227273    0.222412           0         639         239           1
  Avg   0.0845833   0.0317187   0.0461364          --          --          --          --          --
Time: 2204.77
Threshold low: 15 Threshold high60
  IoU       Prec.        Rec.          F1   ang. err.  a. e. std.      F. Neg      F. Pos      T. Pos
  0.5    0.335052    0.101563    0.155875     7.03911     14.8138         575         129          65
 0.55    0.304124   0.0921875    0.141487     4.44776     11.0196         581         135          59
  0.6    0.278351    0.084375    0.129496     4.05319     11.2893         586         140          54
