File Name, True Positive, False Positive, False Negative 
colorIMG_0.png, 12, 0, 4, 
colorIMG_1.png, 8, 0, 8, 
colorIMG_10.png, 16, 0, 0, 
colorIMG_100.png, 7, 0, 9, 
colorIMG_101.png, 2, 0, 14, 
colorIMG_102.png, 5, 0, 11, 
colorIMG_103.png, 4, 0, 12, 
colorIMG_104.png, 4, 1, 12, 
colorIMG_105.png, 12, 0, 4, 
colorIMG_106.png, 9, 1, 7, 
colorIMG_107.png, 5, 0, 11, 
colorIMG_108.png, 4, 0, 12, 
colorIMG_109.png, 2, 0, 14, 
colorIMG_11.png, 16, 0, 0, 
colorIMG_110.png, 2, 7, 14, 
colorIMG_111.png, 2, 6, 14, 
colorIMG_112.png, 3, 4, 13, 
colorIMG_113.png, 4, 1, 12, 
colorIMG_114.png, 7, 0, 9, 
colorIMG_115.png, 2, 1, 14, 
colorIMG_116.png, 6, 0, 10, 
colorIMG_117.png, 5, 1, 11, 
colorIMG_118.png, 3, 0, 13, 
colorIMG_119.png, 7, 1, 9, 
colorIMG_12.png, 12, 0, 4, 
colorIMG_120.png, 6, 0, 10, 
colorIMG_121.png, 7, 0, 9, 
colorIMG_122.png, 7, 0, 9, 
colorIMG_123.png, 16, 0, 0, 
colorIMG_124.png, 16, 0, 0, 
colorIMG_125.png, 16, 0, 0, 
colorIMG_126.png, 16, 0, 0, 
colorIMG_127.png, 16, 0, 0, 
colorIMG_128.png, 15, 0, 1, 
colorIMG_129.png, 15, 0, 1, 
colorIMG_13.png, 4, 1, 12, 
colorIMG_130.png, 13, 2, 3, 
colorIMG_131.png, 15, 0, 1, 
colorIMG_132.png, 15, 0, 1, 
colorIMG_133.png, 0, 0, 16, 
colorIMG_134.png, 15, 0, 1, 
colorIMG_135.png, 16, 0, 0, 
colorIMG_136.png, 4, 1, 12, 
colorIMG_137.png, 14, 0, 2, 
colorIMG_138.png, 11, 0, 5, 
colorIMG_139.png, 16, 0, 0, 
colorIMG_14.png, 6, 0, 10, 
colorIMG_140.png, 9, 4, 7, 
colorIMG_141.png, 12, 0, 4, 
colorIMG_142.png, 15, 0, 1, 
colorIMG_143.png, 15, 0, 1, 
colorIMG_144.png, 7, 4, 9, 
colorIMG_145.png, 16, 0, 0, 
colorIMG_146.png, 7, 0, 9, 
colorIMG_147.png, 11, 0, 5, 
colorIMG_148.png, 10, 1, 6, 
colorIMG_149.png, 16, 0, 0, 
colorIMG_15.png, 9, 0, 7, 
colorIMG_150.png, 12, 0, 4, 
colorIMG_151.png, 14, 2, 2, 
colorIMG_152.png, 7, 0, 9, 
colorIMG_153.png, 15, 0, 1, 
colorIMG_154.png, 14, 0, 2, 
colorIMG_155.png, 4, 1, 12, 
colorIMG_156.png, 15, 0, 1, 
colorIMG_157.png, 7, 0, 9, 
colorIMG_158.png, 15, 0, 1, 
colorIMG_159.png, 5, 0, 11, 
colorIMG_16.png, 16, 0, 0, 
colorIMG_160.png, 7, 0, 9, 
colorIMG_161.png, 12, 0, 4, 
colorIMG_162.png, 10, 1, 6, 
colorIMG_163.png, 10, 0, 6, 
colorIMG_164.png, 13, 0, 3, 
colorIMG_165.png, 5, 0, 11, 
colorIMG_166.png, 7, 0, 9, 
colorIMG_167.png, 16, 0, 0, 
colorIMG_168.png, 15, 0, 1, 
colorIMG_169.png, 16, 0, 0, 
colorIMG_17.png, 12, 0, 4, 
colorIMG_170.png, 14, 0, 2, 
colorIMG_171.png, 13, 0, 3, 
colorIMG_172.png, 14, 1, 2, 
colorIMG_173.png, 15, 0, 1, 
colorIMG_174.png, 13, 0, 3, 
colorIMG_175.png, 3, 1, 13, 
colorIMG_176.png, 3, 4, 13, 
colorIMG_177.png, 16, 0, 0, 
colorIMG_178.png, 1, 1, 15, 
colorIMG_179.png, 13, 1, 3, 
colorIMG_18.png, 15, 0, 1, 
colorIMG_180.png, 10, 0, 6, 
colorIMG_181.png, 13, 0, 3, 
colorIMG_182.png, 6, 0, 10, 
colorIMG_183.png, 14, 0, 2, 
colorIMG_184.png, 16, 0, 0, 
colorIMG_185.png, 10, 0, 6, 
colorIMG_186.png, 16, 0, 0, 
colorIMG_187.png, 12, 0, 4, 
colorIMG_188.png, 12, 0, 4, 
colorIMG_189.png, 6, 1, 10, 
