Thresh, Prec., Rec., F1, ang. err., a. e. std., Time
0, -nan(ind), 0, -nan(ind), -nan(ind), -nan(ind), 97287.6
0.005, -nan(ind), 0, -nan(ind), -nan(ind), -nan(ind), 96374.1
0.01, 0.9, 0.00140625, 0.00280811, 0.440813, 0, 102774
0.015, 0.867647, 0.0921875, 0.166667, 0.946381, 0.596243, 112090
0.02, 0.842222, 0.177656, 0.293419, 1.02666, 0.640993, 100569
0.025, 0.852332, 0.257031, 0.394958, 1.0233, 0.647561, 94153.7
0.03, 0.86, 0.450156, 0.590974, 1.01471, 0.644324, 96492.1
0.035, 0.859337, 0.769375, 0.811871, 0.995779, 0.645271, 99105.4
0.04, 0.828705, 0.83, 0.829352, 1.01023, 0.661612, 102564
0.045, 0.783453, 0.850781, 0.81573, 1.0113, 0.663584, 97572.2
0.05, 0.75171, 0.858594, 0.801605, 1.00725, 0.663936, 97778.2
0.055, 0.72346, 0.8625, 0.786885, 1.00994, 0.665607, 112297
0.06, 0.706786, 0.8625, 0.776918, 1.00994, 0.665607, 100600
0.065, 0.682222, 0.863437, 0.762207, 1.00985, 0.665251, 102560
0.07, 0.670339, 0.865156, 0.755389, 1.02053, 0.706452, 102552
0.075, 0.646846, 0.865156, 0.740241, 1.02053, 0.706452, 101488
0.08, 0.629205, 0.865156, 0.728553, 1.02053, 0.706452, 99461.9
0.085, 0.606462, 0.865156, 0.713071, 1.02053, 0.706452, 104098
0.09, 0.582229, 0.865156, 0.69604, 1.02053, 0.706452, 99365
0.095, 0.535493, 0.865156, 0.661529, 1.02053, 0.706452, 95289.3
