Thresh, Prec., Rec., F1, ang. err., a. e. std., Time
0, -nan(ind), 0, -nan(ind), -nan(ind), -nan(ind), 100480
0.05, 0.75171, 0.858594, 0.801605, 1.00725, 0.663936, 101548
0.1, 0.497038, 0.865156, 0.631357, 1.02053, 0.706452, 113658
0.15, 0.217308, 0.865156, 0.347365, 1.02053, 0.706452, 114484
0.2, 0.122853, 0.865156, 0.215154, 1.02053, 0.706452, 144672
0.25, 0.101727, 0.865156, 0.182048, 1.02053, 0.706452, 163437
0.3, 0.097948, 0.865156, 0.175973, 1.02053, 0.706452, 164028
0.35, 0.0974996, 0.865156, 0.175249, 1.02053, 0.706452, 166249
0.4, 0.0974996, 0.865156, 0.175249, 1.02053, 0.706452, 167454
0.45, 0.0974996, 0.865156, 0.175249, 1.02053, 0.706452, 174916
0.5, 0.0974996, 0.865156, 0.175249, 1.02053, 0.706452, 174977
0.55, 0.0974996, 0.865156, 0.175249, 1.02053, 0.706452, 226366
0.6, 0.0974996, 0.865156, 0.175249, 1.02053, 0.706452, 186338
0.65, 0.0974996, 0.865156, 0.175249, 1.02053, 0.706452, 185035
0.7, 0.0974996, 0.865156, 0.175249, 1.02053, 0.706452, 191800
0.75, 0.0974996, 0.865156, 0.175249, 1.02053, 0.706452, 191208
0.8, 0.0974996, 0.865156, 0.175249, 1.02053, 0.706452, 189806
0.85, 0.0974996, 0.865156, 0.175249, 1.02053, 0.706452, 218742
0.9, 0.0974996, 0.865156, 0.175249, 1.02053, 0.706452, 203316
0.95, 0.0974996, 0.865156, 0.175249, 1.02053, 0.706452, 166784
