Thresh, Prec., Rec., F1, ang. err., a. e. std., Time
25, -nan(ind), 0, -nan(ind), -nan(ind), -nan(ind), 163256
50, 1, 0.0015625, 0.00312012, 1.39445, 0, 146510
75, 0.877707, 0.645938, 0.744194, 0.958034, 0.635929, 133949
100, 0.873366, 0.835156, 0.853834, 1.00908, 0.663273, 140858
125, 0.868297, 0.860156, 0.864207, 1.00873, 0.664743, 150267
150, 0.868396, 0.862969, 0.865674, 1.00814, 0.66458, 130875
175, 0.861994, 0.864688, 0.863339, 1.01085, 0.674445, 158751
200, 0.840971, 0.865938, 0.853272, 1.01247, 0.675296, 138088
225, 0.752989, 0.865938, 0.805523, 1.01247, 0.675296, 126778
250, 0.642923, 0.865938, 0.737949, 1.01247, 0.675296, 108451
275, 0.592949, 0.867188, 0.704315, 1.01305, 0.674987, 132208
300, 0.563452, 0.867188, 0.683077, 1.01305, 0.674987, 150810
325, 0.541715, 0.868437, 0.667227, 1.01381, 0.674799, 144241
350, 0.493351, 0.869531, 0.629525, 1.0129, 0.674864, 162321
375, 0.450243, 0.869531, 0.593284, 1.0129, 0.674864, 185219
400, 0.423194, 0.869531, 0.569309, 1.0129, 0.674864, 187216
425, 0.398639, 0.869531, 0.54666, 1.0129, 0.674864, 179509
450, 0.386727, 0.869531, 0.535354, 1.0129, 0.674864, 219612
475, 0.380383, 0.869531, 0.529244, 1.0129, 0.674864, 236937
500, 0.376014, 0.869531, 0.525, 1.0129, 0.674864, 259925
