NMS Threshold: 150
         IoU       Prec.        Rec.          F1   ang. err.  a. e. std.  cent. err.  std. c. e.      F. Neg      F. Pos      T. Pos
         0.5    0.995223    0.976563    0.985804     1.05174    0.703911     1.60138     1.14068          15           3         625
        0.55    0.995223    0.976563    0.985804     1.05174    0.703911     1.60138     1.14068          15           3         625
         0.6    0.995223    0.976563    0.985804     1.05174    0.703911     1.60138     1.14068          15           3         625
        0.65    0.995223    0.976563    0.985804     1.05174    0.703911     1.60138     1.14068          15           3         625
         0.7    0.993631       0.975    0.984227     1.05228    0.704345     1.57987     1.00696          16           4         624
        0.75    0.990446    0.971875    0.981073     1.05035    0.701347     1.57712     1.00601          18           6         622
         0.8     0.97293    0.954688    0.963722     1.04165    0.695843      1.5403    0.908643          29          17         611
        0.85    0.867834    0.851563    0.859621    0.988024    0.665909     1.45247    0.834264          95          83         545
         0.9    0.584395    0.573438    0.578864    0.899293     0.59387     1.25743    0.689478         273         261         367
        0.95    0.165605      0.1625    0.164038    0.756134    0.502504     0.87808    0.465215         536         524         104
        Avg.    0.855573    0.839531    0.847476      1.0279    0.690838     1.53653     1.02872          -1          -1          -1
Time 86055.5
