Thresh, Prec., Rec., F1, ang. err., a. e. std.,cent. err, std. c. e., Time
25, -nan(ind), 0, -nan(ind), -nan(ind), -nan(ind),-nan(ind),-nan(ind), 85489.4
50, 0.8, 0.00125, 0.0024961, 1.39445, 0,1.45064,-nan(ind), 90632.2
75, 0.839703, 0.617969, 0.711971, 0.962973, 0.641572,1.35398,0.752917, 88248.4
100, 0.837908, 0.80125, 0.819169, 1.01564, 0.668447,1.35608,0.763668, 96663.6
125, 0.833438, 0.825625, 0.829513, 1.01486, 0.669604,1.38421,0.837887, 93664.8
150, 0.833648, 0.828438, 0.831034, 1.01423, 0.669426,1.38227,0.837877, 91652
175, 0.828037, 0.830625, 0.829329, 1.01894, 0.68653,1.38357,0.839584, 94423.5
200, 0.807891, 0.831875, 0.819707, 1.02061, 0.687363,1.38262,0.839313, 93819.2
225, 0.72337, 0.831875, 0.773837, 1.02061, 0.687363,1.38262,0.839313, 105784
250, 0.617633, 0.831875, 0.708921, 1.02061, 0.687363,1.38262,0.839313, 98417.2
275, 0.569658, 0.833125, 0.67665, 1.02121, 0.687021,1.38346,0.838968, 96241.3
300, 0.54132, 0.833125, 0.656246, 1.02121, 0.687021,1.38346,0.838968, 106155
325, 0.520565, 0.834531, 0.641176, 1.02209, 0.686774,1.38148,0.839656, 101142
350, 0.473936, 0.835313, 0.604751, 1.02141, 0.686818,1.38364,0.842243, 112182
375, 0.432524, 0.835313, 0.569936, 1.02141, 0.686818,1.38364,0.842243, 110248
400, 0.40654, 0.835313, 0.546905, 1.02141, 0.686818,1.38364,0.842243, 115952
425, 0.382951, 0.835313, 0.525147, 1.02141, 0.686818,1.38364,0.842243, 120666
450, 0.371508, 0.835313, 0.514286, 1.02141, 0.686818,1.38364,0.842243, 117109
475, 0.365414, 0.835313, 0.508417, 1.02141, 0.686818,1.38364,0.842243, 131854
500, 0.361216, 0.835313, 0.50434, 1.02141, 0.686818,1.38364,0.842243, 100161
