NMS Threshold: 150
         IoU       Prec.        Rec.          F1   ang. err.  a. e. std.  cent. err.  std. c. e.      F. Neg      F. Pos      T. Pos
         0.5    0.995283    0.989062    0.992163     1.03465    0.680019     1.44353    0.874368           7           3         633
        0.55    0.995283    0.989062    0.992163     1.03465    0.680019     1.44353    0.874368           7           3         633
         0.6    0.995283    0.989062    0.992163     1.03465    0.680019     1.44353    0.874368           7           3         633
        0.65    0.995283    0.989062    0.992163     1.03465    0.680019     1.44353    0.874368           7           3         633
         0.7    0.995283    0.989062    0.992163     1.03465    0.680019     1.44353    0.874368           7           3         633
        0.75    0.992138    0.985938    0.989028     1.03231    0.675756      1.4398    0.871338           9           5         631
         0.8    0.974843     0.96875    0.971787     1.01808    0.663076     1.42199    0.826664          20          16         620
        0.85    0.888365    0.882813     0.88558    0.960165    0.621629     1.34273    0.744174          75          71         565
         0.9     0.63522     0.63125    0.633229    0.899302     0.58819     1.20353    0.657197         236         232         404
        0.95    0.216981    0.215625    0.216301    0.760085    0.536216    0.868146    0.441224         502         498         138
        Avg.    0.868396    0.862969    0.865674     1.00814     0.66458     1.39844    0.840373          -1          -1          -1
Time 111733
