Thresh, Prec., Rec., F1, ang. err., a. e. std.,cent. err, std. c. e., Time
25, -nan(ind), 0, -nan(ind), -nan(ind), -nan(ind),-nan(ind),-nan(ind), 69802.5
50, 0.8, 0.00125, 0.0024961, 1.39445, 0,1.45064,-nan(ind), 69726.8
75, 0.831412, 0.450781, 0.5846, 0.973479, 0.657699,1.37472,0.786905, 67072.6
100, 0.826667, 0.755625, 0.789551, 1.00978, 0.676891,1.45426,0.84183, 66471.1
125, 0.820513, 0.8, 0.810127, 1.02954, 0.692028,1.51437,1.0223, 66599.4
150, 0.820541, 0.805156, 0.812776, 1.02993, 0.691297,1.52031,1.04905, 65156.8
175, 0.819401, 0.811719, 0.815542, 1.02971, 0.690493,1.51673,1.04626, 67755
200, 0.815469, 0.815469, 0.815469, 1.0304, 0.691115,1.51727,1.04389, 65685.2
225, 0.781287, 0.815469, 0.798012, 1.0304, 0.691115,1.51727,1.04389, 81472.8
250, 0.681332, 0.815469, 0.74239, 1.0304, 0.691115,1.51727,1.04389, 94687.2
275, 0.587852, 0.816562, 0.683584, 1.03012, 0.690692,1.5184,1.04365, 68501.1
300, 0.568043, 0.816562, 0.67, 1.03012, 0.690692,1.5184,1.04365, 69135.8
325, 0.554189, 0.816562, 0.660265, 1.03012, 0.690692,1.5184,1.04365, 68429.7
350, 0.526559, 0.817813, 0.640636, 1.0323, 0.692401,1.51831,1.04285, 70490.7
375, 0.485, 0.818438, 0.60907, 1.03321, 0.692912,1.52123,1.04778, 88460.3
400, 0.43647, 0.819063, 0.569473, 1.03264, 0.692953,1.52396,1.05202, 100425
425, 0.394729, 0.819063, 0.532724, 1.03264, 0.692953,1.52396,1.05202, 100652
450, 0.378211, 0.819063, 0.517473, 1.03264, 0.692953,1.52396,1.05202, 107140
475, 0.369676, 0.819063, 0.509427, 1.03264, 0.692953,1.52396,1.05202, 139620
500, 0.365042, 0.819063, 0.50501, 1.03264, 0.692953,1.52396,1.05202, 144170
