File Name, True Positive, False Positive, False Negative 
colorIMG_23.png, 4, 12, 12, 
colorIMG_102.png, 0, 5, 16, 
colorIMG_46.png, 4, 5, 12, 
colorIMG_141.png, 5, 7, 11, 
colorIMG_188.png, 7, 5, 9, 
colorIMG_4.png, 3, 6, 13, 
colorIMG_199.png, 7, 9, 9, 
colorIMG_123.png, 6, 10, 10, 
colorIMG_108.png, 0, 4, 16, 
colorIMG_2.png, 1, 4, 15, 
colorIMG_30.png, 3, 13, 13, 
colorIMG_96.png, 0, 1, 16, 
colorIMG_95.png, 0, 5, 16, 
colorIMG_85.png, 1, 5, 15, 
colorIMG_11.png, 7, 9, 9, 
colorIMG_81.png, 1, 4, 15, 
colorIMG_28.png, 4, 11, 12, 
colorIMG_152.png, 4, 3, 12, 
colorIMG_20.png, 2, 14, 14, 
colorIMG_59.png, 0, 3, 16, 
colorIMG_87.png, 2, 8, 14, 
colorIMG_118.png, 0, 3, 16, 
colorIMG_91.png, 0, 0, 16, 
colorIMG_53.png, 1, 8, 15, 
colorIMG_56.png, 2, 5, 14, 
colorIMG_9.png, 3, 1, 13, 
colorIMG_62.png, 1, 10, 15, 
colorIMG_80.png, 0, 4, 16, 
colorIMG_69.png, 0, 3, 16, 
colorIMG_45.png, 1, 15, 15, 
colorIMG_71.png, 0, 6, 16, 
colorIMG_104.png, 0, 5, 16, 
colorIMG_159.png, 3, 2, 13, 
colorIMG_173.png, 6, 9, 10, 
colorIMG_154.png, 10, 4, 6, 
colorIMG_122.png, 2, 5, 14, 
colorIMG_147.png, 2, 9, 14, 
colorIMG_38.png, 4, 12, 12, 
colorIMG_90.png, 0, 4, 16, 
colorIMG_74.png, 0, 6, 16, 
