File Name, True Positive, False Positive, False Negative 
colorIMG_23.png, 14, 2, 2, 
colorIMG_102.png, 4, 1, 12, 
colorIMG_46.png, 8, 1, 8, 
colorIMG_141.png, 12, 0, 4, 
colorIMG_188.png, 12, 0, 4, 
colorIMG_4.png, 9, 0, 7, 
colorIMG_199.png, 16, 0, 0, 
colorIMG_123.png, 16, 0, 0, 
colorIMG_108.png, 4, 0, 12, 
colorIMG_2.png, 4, 1, 12, 
colorIMG_30.png, 16, 0, 0, 
colorIMG_96.png, 0, 1, 16, 
colorIMG_95.png, 3, 2, 13, 
colorIMG_85.png, 5, 1, 11, 
colorIMG_11.png, 16, 0, 0, 
colorIMG_81.png, 4, 1, 12, 
colorIMG_28.png, 15, 0, 1, 
colorIMG_152.png, 7, 0, 9, 
colorIMG_20.png, 16, 0, 0, 
colorIMG_59.png, 2, 1, 14, 
colorIMG_87.png, 9, 1, 7, 
colorIMG_118.png, 3, 0, 13, 
colorIMG_91.png, 0, 0, 16, 
colorIMG_53.png, 9, 0, 7, 
colorIMG_56.png, 7, 0, 9, 
colorIMG_9.png, 4, 0, 12, 
colorIMG_62.png, 11, 0, 5, 
colorIMG_80.png, 2, 2, 14, 
colorIMG_69.png, 3, 0, 13, 
colorIMG_45.png, 16, 0, 0, 
colorIMG_71.png, 0, 6, 16, 
colorIMG_104.png, 4, 1, 12, 
colorIMG_159.png, 4, 1, 12, 
colorIMG_173.png, 15, 0, 1, 
colorIMG_154.png, 14, 0, 2, 
colorIMG_122.png, 7, 0, 9, 
colorIMG_147.png, 11, 0, 5, 
colorIMG_38.png, 16, 0, 0, 
colorIMG_90.png, 2, 2, 14, 
colorIMG_74.png, 2, 4, 14, 
