File Name, True Positive, False Positive, False Negative 
colorIMG_0.png, 12, 0, 4, 
colorIMG_10.png, 16, 0, 0, 
colorIMG_11.png, 16, 0, 0, 
colorIMG_12.png, 12, 0, 4, 
colorIMG_123.png, 16, 0, 0, 
colorIMG_124.png, 16, 0, 0, 
colorIMG_125.png, 16, 0, 0, 
colorIMG_126.png, 16, 0, 0, 
colorIMG_127.png, 16, 0, 0, 
colorIMG_135.png, 16, 0, 0, 
colorIMG_139.png, 16, 0, 0, 
colorIMG_14.png, 6, 0, 10, 
colorIMG_149.png, 16, 0, 0, 
colorIMG_15.png, 9, 0, 7, 
colorIMG_154.png, 14, 0, 2, 
colorIMG_16.png, 16, 0, 0, 
colorIMG_163.png, 10, 0, 6, 
colorIMG_166.png, 7, 0, 9, 
colorIMG_167.png, 16, 0, 0, 
colorIMG_168.png, 15, 0, 1, 
colorIMG_169.png, 16, 0, 0, 
colorIMG_17.png, 12, 0, 4, 
colorIMG_170.png, 14, 0, 2, 
colorIMG_173.png, 15, 0, 1, 
colorIMG_177.png, 16, 0, 0, 
colorIMG_180.png, 10, 0, 6, 
colorIMG_181.png, 13, 0, 3, 
colorIMG_183.png, 14, 0, 2, 
colorIMG_184.png, 16, 0, 0, 
colorIMG_186.png, 16, 0, 0, 
colorIMG_187.png, 12, 0, 4, 
colorIMG_188.png, 12, 0, 4, 
colorIMG_19.png, 11, 0, 5, 
colorIMG_191.png, 10, 0, 6, 
colorIMG_192.png, 16, 0, 0, 
colorIMG_194.png, 13, 0, 3, 
colorIMG_195.png, 16, 0, 0, 
colorIMG_196.png, 14, 1, 2, 
colorIMG_198.png, 10, 0, 6, 
colorIMG_24.png, 12, 1, 4, 
colorIMG_27.png, 16, 0, 0, 
colorIMG_3.png, 7, 0, 9, 
colorIMG_30.png, 16, 0, 0, 
colorIMG_4.png, 9, 0, 7, 
colorIMG_40.png, 12, 0, 4, 
colorIMG_45.png, 16, 0, 0, 
colorIMG_48.png, 6, 0, 10, 
colorIMG_57.png, 10, 0, 6, 
colorIMG_8.png, 10, 0, 6, 
colorIMG_89.png, 12, 0, 4, 
colorIMG_9.png, 4, 0, 12, 
