File Name, True Positive, False Positive, False Negative 
colorIMG_100.png, 3, 23, 13, 
colorIMG_101.png, 1, 9, 15, 
colorIMG_102.png, 3, 15, 13, 
colorIMG_103.png, 5, 2, 11, 
colorIMG_104.png, 3, 13, 13, 
colorIMG_105.png, 11, 3, 5, 
colorIMG_106.png, 9, 3, 7, 
colorIMG_107.png, 3, 7, 13, 
colorIMG_108.png, 1, 17, 15, 
colorIMG_109.png, 3, 19, 13, 
colorIMG_110.png, 1, 74, 15, 
colorIMG_111.png, 1, 143, 15, 
colorIMG_112.png, 0, 90, 16, 
colorIMG_113.png, 3, 13, 13, 
colorIMG_114.png, 5, 9, 11, 
colorIMG_115.png, 2, 31, 14, 
colorIMG_116.png, 3, 5, 13, 
colorIMG_117.png, 4, 36, 12, 
colorIMG_118.png, 4, 24, 12, 
colorIMG_119.png, 5, 31, 11, 
colorIMG_120.png, 7, 5, 9, 
colorIMG_121.png, 4, 4, 12, 
colorIMG_122.png, 6, 2, 10, 
colorIMG_123.png, 15, 1, 1, 
colorIMG_124.png, 16, 0, 0, 
colorIMG_125.png, 16, 0, 0, 
colorIMG_126.png, 16, 0, 0, 
colorIMG_127.png, 16, 0, 0, 
colorIMG_128.png, 16, 11, 0, 
colorIMG_129.png, 15, 9, 1, 
colorIMG_130.png, 13, 5, 3, 
colorIMG_131.png, 14, 2, 2, 
colorIMG_132.png, 15, 12, 1, 
colorIMG_133.png, 0, 0, 16, 
colorIMG_134.png, 14, 2, 2, 
colorIMG_135.png, 15, 1, 1, 
colorIMG_136.png, 7, 23, 9, 
colorIMG_137.png, 11, 5, 5, 
colorIMG_138.png, 10, 6, 6, 
colorIMG_139.png, 16, 0, 0, 
colorIMG_140.png, 8, 25, 8, 
colorIMG_141.png, 13, 7, 3, 
colorIMG_142.png, 14, 10, 3, 
colorIMG_143.png, 15, 9, 1, 
colorIMG_144.png, 7, 59, 9, 
colorIMG_145.png, 15, 1, 1, 
colorIMG_146.png, 8, 0, 8, 
colorIMG_147.png, 12, 12, 4, 
colorIMG_148.png, 14, 22, 2, 
colorIMG_149.png, 16, 0, 0, 
colorIMG_150.png, 11, 10, 5, 
colorIMG_151.png, 15, 3, 1, 
colorIMG_152.png, 8, 24, 8, 
colorIMG_153.png, 15, 1, 1, 
colorIMG_154.png, 14, 0, 2, 
colorIMG_155.png, 4, 2, 12, 
colorIMG_156.png, 15, 1, 1, 
colorIMG_157.png, 7, 1, 9, 
colorIMG_158.png, 15, 9, 1, 
colorIMG_159.png, 7, 11, 9, 
colorIMG_160.png, 8, 13, 8, 
colorIMG_161.png, 11, 5, 5, 
colorIMG_162.png, 12, 24, 4, 
colorIMG_163.png, 9, 18, 7, 
colorIMG_164.png, 9, 15, 7, 
colorIMG_165.png, 5, 4, 11, 
colorIMG_166.png, 8, 8, 8, 
colorIMG_167.png, 16, 0, 0, 
colorIMG_168.png, 16, 0, 0, 
colorIMG_169.png, 14, 10, 2, 
colorIMG_170.png, 16, 0, 0, 
colorIMG_171.png, 16, 0, 0, 
colorIMG_172.png, 12, 12, 4, 
colorIMG_173.png, 15, 3, 1, 
colorIMG_174.png, 16, 0, 0, 
colorIMG_175.png, 3, 21, 13, 
colorIMG_176.png, 4, 131, 12, 
colorIMG_177.png, 16, 8, 0, 
colorIMG_178.png, 2, 28, 14, 
colorIMG_179.png, 14, 13, 2, 
colorIMG_180.png, 12, 9, 4, 
colorIMG_181.png, 14, 4, 2, 
colorIMG_182.png, 5, 23, 11, 
colorIMG_183.png, 16, 8, 0, 
colorIMG_184.png, 16, 0, 0, 
colorIMG_185.png, 10, 8, 6, 
colorIMG_186.png, 16, 0, 0, 
colorIMG_187.png, 12, 9, 4, 
colorIMG_188.png, 12, 2, 4, 
colorIMG_189.png, 9, 5, 7, 
colorIMG_190.png, 9, 19, 7, 
colorIMG_191.png, 9, 15, 7, 
colorIMG_192.png, 16, 0, 0, 
colorIMG_193.png, 12, 2, 4, 
colorIMG_194.png, 13, 3, 3, 
colorIMG_195.png, 16, 0, 0, 
colorIMG_196.png, 15, 12, 1, 
colorIMG_197.png, 10, 2, 6, 
colorIMG_198.png, 10, 2, 6, 
colorIMG_199.png, 16, 0, 0, 
colorIMG_200.png, 13, 8, 3, 
colorIMG_201.png, 12, 2, 4, 
